,Open,High,Low,Close,Adj Close,Volume
2021-02-01 14:00:00+01:00,59.5,59.5,59.5,59.5,59.5,141
2021-02-01 15:00:00+01:00,56.0,58.0,56.0,58.0,58.0,899
2021-02-02 09:00:00+01:00,60.0,60.0,58.0,59.5,59.5,0
2021-02-02 10:00:00+01:00,59.0,59.0,56.0,56.0,56.0,580
2021-02-02 11:00:00+01:00,59.5,59.5,59.5,59.5,59.5,1
2021-02-02 13:00:00+01:00,56.5,58.0,55.0,55.0,55.0,1410
2021-02-02 14:00:00+01:00,57.5,57.5,57.5,57.5,57.5,1
2021-02-02 15:00:00+01:00,57.5,58.0,57.5,58.0,58.0,30
2021-02-03 09:00:00+01:00,59.0,59.0,59.0,59.0,59.0,0
2021-02-03 10:00:00+01:00,58.0,59.0,58.0,59.0,59.0,851
2021-02-03 11:00:00+01:00,59.0,59.0,59.0,59.0,59.0,196
2021-02-03 12:00:00+01:00,58.0,59.0,58.0,59.0,59.0,530
2021-02-03 14:00:00+01:00,57.0,59.0,56.5,59.0,59.0,200
2021-02-03 15:00:00+01:00,58.5,59.0,58.5,59.0,59.0,1677
2021-02-03 16:00:00+01:00,59.0,59.5,59.0,59.5,59.5,1701
2021-02-04 09:00:00+01:00,60.0,60.0,60.0,60.0,60.0,0
2021-02-04 10:00:00+01:00,59.5,60.5,59.5,60.5,60.5,2811
2021-02-04 13:00:00+01:00,58.5,58.5,58.0,58.0,58.0,1900
2021-02-04 14:00:00+01:00,60.0,60.0,60.0,60.0,60.0,1101
2021-02-05 09:00:00+01:00,61.0,61.0,61.0,61.0,61.0,0
2021-02-05 10:00:00+01:00,60.0,61.0,60.0,61.0,61.0,101
2021-02-05 13:00:00+01:00,60.0,61.0,60.0,61.0,61.0,707
2021-02-05 15:00:00+01:00,60.0,60.0,57.5,57.5,57.5,300
2021-02-05 16:00:00+01:00,59.5,63.0,59.5,63.0,63.0,4019
2021-02-08 09:00:00+01:00,65.0,65.0,65.0,65.0,65.0,0
2021-02-08 10:00:00+01:00,64.0,64.0,64.0,64.0,64.0,585
2021-02-08 12:00:00+01:00,63.0,64.0,63.0,64.0,64.0,291
2021-02-08 13:00:00+01:00,63.0,63.0,63.0,63.0,63.0,300
2021-02-08 15:00:00+01:00,62.5,63.0,62.5,63.0,63.0,6000
2021-02-09 09:00:00+01:00,61.0,61.0,59.0,59.0,59.0,0
2021-02-09 10:00:00+01:00,60.0,62.0,60.0,62.0,62.0,142
2021-02-09 11:00:00+01:00,60.0,62.0,60.0,62.0,62.0,131
2021-02-09 14:00:00+01:00,61.0,62.0,60.0,61.0,61.0,1872
2021-02-09 15:00:00+01:00,58.0,61.0,58.0,61.0,61.0,0
2021-02-10 09:00:00+01:00,60.0,61.0,59.0,61.0,61.0,0
2021-02-10 11:00:00+01:00,58.5,61.0,58.5,61.0,61.0,1001
2021-02-10 12:00:00+01:00,58.5,61.0,58.5,61.0,61.0,301
2021-02-11 09:00:00+01:00,63.0,63.0,53.5,59.0,59.0,8219
2021-02-11 10:00:00+01:00,57.5,58.5,57.5,58.0,58.0,2102
2021-02-11 11:00:00+01:00,58.0,58.0,58.0,58.0,58.0,116
2021-02-11 13:00:00+01:00,57.5,57.5,56.5,56.5,56.5,2231
2021-02-11 14:00:00+01:00,57.0,57.5,57.0,57.5,57.5,2881
2021-02-11 15:00:00+01:00,57.0,57.5,56.5,57.0,57.0,3805
2021-02-11 16:00:00+01:00,57.0,59.0,57.0,59.0,59.0,2543
2021-02-12 09:00:00+01:00,61.0,61.0,58.0,59.5,59.5,0
2021-02-12 10:00:00+01:00,59.5,60.0,59.5,60.0,60.0,10344
2021-02-12 11:00:00+01:00,61.0,61.0,61.0,61.0,61.0,1021
2021-02-12 12:00:00+01:00,60.5,61.0,60.5,61.0,61.0,2275
2021-02-12 13:00:00+01:00,61.5,61.5,61.5,61.5,61.5,2206
2021-02-12 14:00:00+01:00,61.5,62.0,61.5,62.0,62.0,2000
2021-02-12 15:00:00+01:00,61.5,61.5,61.5,61.5,61.5,101
2021-02-12 16:00:00+01:00,60.5,61.5,60.5,61.5,61.5,223
2021-02-15 09:00:00+01:00,63.0,63.0,61.0,62.5,62.5,0
2021-02-15 10:00:00+01:00,61.0,61.0,61.0,61.0,61.0,200
2021-02-15 12:00:00+01:00,60.0,60.0,60.0,60.0,60.0,4
2021-02-15 13:00:00+01:00,61.0,61.0,61.0,61.0,61.0,1
2021-02-15 14:00:00+01:00,61.0,62.5,61.0,62.5,62.5,1001
2021-02-15 16:00:00+01:00,61.5,63.0,61.5,63.0,63.0,1001
2021-02-16 09:00:00+01:00,63.0,63.0,63.0,63.0,63.0,0
